Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GP,% GP,GP WR,# OH,OH WR,# GD,GD WR,# GIH,GIH WR,# GNS,GNS WR,IIH
Earth Kingdom General,G,U,79146,3.99,16591,5.03,92768,83.60%,55.50%,15924,54.30%,22464,57.80%,38388,56.30%,53734,54.90%,1.5pp
Earth Rumble,G,U,94076,4.71,16337,6.17,77418,72.00%,54.40%,12853,50.90%,18978,56.10%,31831,54.00%,45561,54.60%,-0.6pp
Earthbender Ascension,G,R,14659,2.07,7591,2.18,61386,90.30%,57.50%,11183,67.00%,15337,59.20%,26520,62.50%,34830,53.70%,8.8pp
Earthbending Lesson,G,C,347331,7.18,42191,10.31,101709,37.00%,52.70%,17065,49.20%,25781,53.50%,42846,51.80%,57854,53.30%,-1.5pp
Earthen Ally,G,R,47305,4.87,7851,6.66,24407,45.70%,54.30%,4411,56.60%,5785,53.40%,10196,54.80%,14116,53.90%,0.8pp
Elemental Teachings,G,R,64033,6.43,7862,9.8,1159,2.20%,44.30%,200,,289,,489,,658,45.30%,
"Flopsie, Bumi's Buddy",G,U,83738,4.31,15842,5.5,81799,77.80%,54.80%,13276,53.00%,20087,56.50%,33363,55.10%,48111,54.50%,0.7pp
Foggy Swamp Vinebender,G,C,351535,7.29,38411,10.75,72573,28.80%,53.50%,12122,51.60%,17588,53.00%,29710,52.40%,42722,54.10%,-1.7pp
Great Divide Guide,G,R,15825,2.17,7399,2.32,58224,88.20%,57.40%,10897,66.50%,14117,58.90%,25014,62.20%,32901,53.70%,8.6pp
"Haru, Hidden Talent",G,U,80408,4.16,13687,5.34,65965,72.50%,54.00%,11968,54.40%,15276,52.20%,27244,53.20%,38410,54.60%,-1.4pp
Invasion Tactics,G,U,117670,6.05,14032,8.79,34174,37.20%,53.60%,5586,49.10%,8017,52.10%,13603,50.80%,20578,55.40%,-4.6pp
Kyoshi Island Plaza,G,U,123562,6.77,16464,9.45,18212,17.10%,47.50%,3145,47.90%,4905,51.80%,8050,50.30%,9038,43.70%,6.6pp
Leaves from the Vine,G,U,124764,6.48,15371,9.27,25986,25.90%,52.70%,4438,52.20%,6160,52.50%,10598,52.40%,15202,52.80%,-0.5pp
The Legend of Kyoshi,G,M,7513,1.88,3866,1.97,31511,88.80%,56.10%,5298,58.10%,8005,60.70%,13303,59.70%,17931,53.20%,6.4pp
Origin of Metalbending,G,C,330564,6.43,41687,9.34,143379,52.40%,55.00%,24183,53.80%,35190,57.20%,59373,55.80%,82740,54.30%,1.5pp
Ostrich-Horse,G,C,325662,6.44,56513,8.49,233118,61.80%,56.50%,41565,57.10%,56461,56.80%,98026,56.90%,134320,56.20%,0.8pp
Pillar Launch,G,C,365463,7.91,44674,11.25,69234,23.40%,56.20%,11466,54.70%,15904,56.70%,27370,55.90%,41886,56.40%,-0.5pp
Raucous Audience,G,C,272470,5.19,47427,6.85,247042,78.50%,55.90%,44970,59.30%,58057,54.30%,103027,56.50%,143530,55.50%,0.9pp
Rebellious Captives,G,C,314517,5.91,48548,8.12,234432,73.20%,55.70%,42439,54.80%,54876,55.40%,97315,55.10%,136264,56.00%,-0.9pp
Rockalanche,G,U,112606,5.96,15656,8.1,46875,45.40%,54.80%,8140,51.80%,10931,57.00%,19071,54.80%,27424,54.80%,-0.0pp
Rocky Rebuke,G,C,264618,4.9,47145,6.49,249674,80.10%,55.80%,41604,54.70%,60821,57.80%,102425,56.50%,147117,55.20%,1.3pp
Saber-Tooth Moose-Lion,G,C,338914,6.69,40297,9.76,120539,45.90%,53.70%,21480,51.00%,29953,54.70%,51433,53.20%,69075,53.90%,-0.8pp
Seismic Sense,G,U,107471,5.27,18707,7.04,86330,69.80%,55.10%,15373,53.30%,21789,57.30%,37162,55.60%,48236,54.60%,1.1pp
Shared Roots,G,U,86532,4.32,16816,5.46,85889,78.40%,53.60%,15738,57.00%,21149,52.30%,36887,54.30%,48348,53.00%,1.3pp
Sparring Dummy,G,U,126042,6.53,18379,8.88,49257,41.10%,53.00%,9017,53.20%,12069,51.80%,21086,52.40%,28045,53.60%,-1.2pp
"Toph, the Blind Bandit",G,U,65977,3.44,18297,4.09,111109,87.80%,56.40%,19636,58.20%,26754,58.10%,46390,58.20%,63955,55.00%,3.2pp
True Ancestry,G,U,92508,4.56,19387,5.79,99185,77.80%,54.60%,16840,51.50%,25463,57.20%,42303,54.90%,55904,54.10%,0.8pp
Turtle-Duck,G,C,359978,7.87,39590,11.43,51684,20.00%,53.30%,9206,53.20%,12260,53.40%,21466,53.30%,30153,53.30%,0.0pp
Unlucky Cabbage Merchant,G,U,89007,4.39,17482,5.63,90353,78.40%,54.20%,16571,54.00%,26987,53.90%,43558,53.90%,50766,54.20%,-0.3pp
Walltop Sentries,G,C,298837,5.55,42361,7.86,204846,73.80%,54.90%,36043,54.30%,50946,55.70%,86989,55.10%,117001,54.70%,0.4pp
"Aang, at the Crossroads",WUG,R,16148,2.28,7842,2.36,58376,85.30%,56.50%,9977,61.10%,15684,62.20%,25661,61.80%,32249,52.10%,9.7pp
"Aang, Swift Savior",WU,R,12344,1.81,8020,1.83,67571,89.60%,58.90%,11931,63.50%,18767,65.70%,30698,64.80%,36553,53.70%,11.2pp
Abandon Attachments,UR,C,283243,5.06,52654,6.92,266034,76.70%,54.80%,48156,54.00%,72095,56.10%,120251,55.30%,143550,54.40%,0.9pp
Air Nomad Legacy,WU,U,99010,5.4,17318,6.99,53810,46.50%,54.20%,9299,55.00%,14039,54.50%,23338,54.70%,30403,53.80%,0.9pp
Avatar Aang,WURG,M,14188,3.05,4004,3.45,19168,64.10%,51.70%,3108,50.80%,5387,55.60%,8495,53.90%,10563,49.80%,4.1pp
"Azula, Cunning Usurper",UB,R,18139,2.53,8642,2.66,65441,85.70%,57.20%,10892,60.80%,18792,64.10%,29684,62.90%,33647,51.70%,11.2pp
Beifong's Bounty Hunters,BG,R,22007,2.97,8198,3.21,53792,79.60%,56.00%,9046,60.50%,14120,59.60%,23166,60.00%,30658,52.90%,7.1pp
Bitter Work,RG,U,105865,5.72,14583,7.82,44448,46.40%,52.90%,7655,50.40%,10815,53.60%,18470,52.20%,25991,53.30%,-1.1pp
"Bumi, Unleashed",RG,M,7640,1.91,4021,1.95,33525,87.30%,57.30%,5628,62.60%,8846,63.70%,14474,63.30%,18705,52.40%,10.8pp
Cat-Owl,WU,C,333718,6.36,42290,9.46,103081,37.10%,53.70%,17402,51.70%,27405,54.20%,44807,53.20%,58399,54.00%,-0.8pp
Cruel Administrator,BR,U,108833,5.87,13714,8.23,36523,41.30%,51.50%,6034,50.30%,9169,51.90%,15203,51.30%,21478,51.60%,-0.3pp
Dai Li Agents,BG,U,98146,5.32,17939,6.82,70825,59.10%,55.50%,11653,55.70%,18056,59.20%,29709,57.90%,40870,53.70%,4.1pp
Dragonfly Swarm,UR,U,86306,4.58,22580,5.41,115348,74.10%,56.20%,19509,54.50%,34310,59.80%,53819,57.90%,61163,54.60%,3.2pp
Earth Kingdom Soldier,WG,C,341166,6.52,45968,9.41,132991,43.40%,55.90%,21995,54.50%,32361,56.20%,54356,55.50%,78549,56.10%,-0.5pp
Earth King's Lieutenant,WG,R,21218,2.74,6742,3.06,45234,78.20%,56.90%,7843,61.40%,10515,58.50%,18358,59.80%,26442,54.70%,5.1pp
Earth Rumble Wrestlers,RG,C,361900,7.79,40516,11.32,43728,16.50%,53.90%,7345,52.20%,10753,53.90%,18098,53.20%,25585,54.30%,-1.1pp
