"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Unbury","B","U","72975","3.97","17359","4.95","89984","81.3%","54.3%","15001","51.6%","22470","57.4%","37471","55.0%","52590","53.7%","1.3pp"
"Ashling, Rekindled","R","R","16874","2.76","6496","3.02","42687","80.4%","55.6%","7775","63.4%","11493","58.4%","19268","60.5%","22602","51.1%","9.4pp"
"Boldwyr Aggressor","R","U","111937","6.31","14247","9.14","23185","26.3%","49.9%","3838","49.7%","5948","52.6%","9786","51.4%","13464","48.8%","2.7pp"
"Boneclub Berserker","R","C","308396","7.38","35634","10.73","62352","27.8%","51.0%","10321","49.2%","15387","51.3%","25708","50.5%","35447","50.9%","-0.4pp"
"Boulder Dash","R","U","71652","3.99","18038","4.85","94581","82.5%","53.6%","16567","53.4%","24988","56.7%","41555","55.4%","53045","52.1%","3.2pp"
"Brambleback Brute","R","C","306098","6.98","38280","10.06","74172","30.9%","51.4%","12979","49.3%","18548","54.2%","31527","52.1%","42785","50.9%","1.3pp"
"Burning Curiosity","R","C","317307","7.28","44327","10.21","85923","30.9%","51.7%","14547","48.2%","22284","53.9%","36831","51.6%","49117","51.7%","-0.1pp"
"Champion of the Path","R","R","19588","3.14","5821","3.59","33419","77.9%","52.7%","5681","52.2%","9310","55.7%","14991","54.4%","17652","50.4%","4.0pp"
"Cinder Strike","R","C","189656","4.09","51278","4.97","286560","87.1%","54.1%","49860","54.2%","76222","56.6%","126082","55.7%","160543","53.0%","2.7pp"
"Collective Inferno","R","R","32596","4.47","4881","6.23","13051","41.8%","49.7%","2149","46.8%","3424","49.7%","5573","48.6%","7517","50.4%","-1.9pp"
"Elder Auntie","R","C","294423","6.67","39365","9.41","109288","44.7%","52.1%","19115","51.3%","26446","52.3%","45561","51.9%","61966","51.9%","-0.0pp"
"End-Blaze Epiphany","R","R","16461","2.58","7588","2.76","51520","86.1%","55.8%","8739","58.4%","13616","61.4%","22355","60.2%","29185","52.4%","7.8pp"
"Enraged Flamecaster","R","C","295180","6.64","37563","9.58","99122","42.1%","52.2%","17499","51.9%","26267","53.4%","43766","52.8%","53854","51.3%","1.5pp"
"Explosive Prodigy","R","U","62543","3.59","20998","4.12","119586","85.4%","55.2%","21178","56.1%","32215","59.3%","53393","58.0%","63980","52.4%","5.6pp"
"Feed the Flames","R","C","231514","4.84","44748","6.36","223773","79.9%","53.1%","37261","51.2%","60788","56.4%","98049","54.4%","125810","52.0%","2.4pp"
"Flame-Chain Mauler","R","C","298421","6.61","44339","9.22","144136","51.8%","53.2%","25834","52.6%","37740","53.5%","63574","53.2%","78655","52.9%","0.3pp"
"Flamebraider","R","U","67839","3.99","20664","4.56","113888","81.5%","55.7%","20680","62.7%","30679","56.0%","51359","58.7%","60696","52.9%","5.8pp"
"Flamekin Gildweaver","R","C","276147","5.95","50730","7.79","216751","67.3%","54.7%","37297","55.3%","59349","57.3%","96646","56.5%","116492","52.8%","3.7pp"
"Giantfall","R","U","88190","4.79","15383","6.32","61612","64.2%","52.3%","10330","50.6%","16301","55.2%","26631","53.4%","35030","51.4%","2.0pp"
"Goatnap","R","U","126533","7.44","13922","11.09","4776","5.5%","48.1%","747","43.1%","1150","51.9%","1897","48.4%","2882","48.0%","0.5pp"
"Goliath Daydreamer","R","R","16387","2.66","6355","2.91","39324","81.7%","53.2%","6635","54.1%","10806","55.9%","17441","55.2%","22171","51.6%","3.6pp"
"Gristle Glutton","R","C","290780","6.41","48662","8.59","185186","60.7%","53.4%","33297","54.0%","45138","53.6%","78435","53.8%","104553","52.9%","0.9pp"
"Hexing Squelcher","R","R","21681","3.21","4527","4.04","22200","72.2%","51.1%","3997","50.2%","5476","51.0%","9473","50.7%","12482","51.3%","-0.6pp"
"Impolite Entrance","R","U","124524","7.21","14005","10.66","8521","9.8%","46.3%","1418","42.9%","2111","44.1%","3529","43.6%","4998","48.2%","-4.5pp"
"Kindle the Inner Flame","R","U","111403","6.32","17287","8.56","44102","40.4%","53.8%","7129","51.3%","12052","57.7%","19181","55.3%","24020","52.0%","3.3pp"
"Kulrath Zealot","R","C","255052","5.39","52108","6.94","248738","74.8%","54.8%","43346","53.9%","68060","58.5%","111406","56.7%","133193","52.8%","4.0pp"
"Lasting Tarfire","R","U","113132","6.60","14957","9.29","30200","32.6%","48.9%","5204","43.9%","7517","48.9%","12721","46.9%","17496","50.3%","-3.5pp"
"Lavaleaper","R","R","41947","5.35","5118","8.28","3646","11.2%","48.8%","564","45.6%","959","50.4%","1523","48.6%","2085","48.7%","-0.1pp"
"Meek Attack","R","M","25596","5.48","3227","8.40","175","0.9%","","33","","38","","71","","104","",""
"Reckless Ransacking","R","C","324662","7.82","36500","11.45","24357","10.7%","49.6%","4001","49.0%","6071","50.9%","10072","50.1%","14294","49.2%","0.9pp"
"Scuzzback Scrounger","R","R","20753","3.10","6272","3.58","37236","84.3%","53.6%","6778","57.2%","9428","53.5%","16206","55.1%","20716","52.2%","2.8pp"
"Sear","R","U","50208","2.95","18089","3.39","108670","90.4%","54.3%","18971","55.3%","29207","57.6%","48178","56.7%","60516","52.3%","4.3pp"
"Sizzling Changeling","R","U","78482","4.22","18424","5.25","97163","83.0%","53.6%","17008","53.3%","25425","54.7%","42433","54.1%","53103","52.8%","1.3pp"
"Soul Immolation","R","M","7160","2.23","3819","2.32","28634","87.0%","56.5%","4828","58.6%","7810","66.0%","12638","63.2%","16015","51.3%","11.9pp"
"Soulbright Seeker","R","U","97084","5.35","17966","6.98","71911","63.2%","54.4%","12507","56.6%","19279","54.2%","31786","55.1%","39039","53.6%","1.5pp"
"Sourbread Auntie","R","U","87353","4.94","17055","6.27","72723","67.3%","54.2%","12470","53.3%","18076","56.7%","30546","55.3%","40623","53.0%","2.3pp"
"Spinerock Tyrant","R","M","5427","1.76","3035","1.82","24930","88.0%","55.6%","4208","61.1%","7085","62.3%","11293","61.8%","13814","50.4%","11.5pp"
"Squawkroaster","R","U","100409","5.48","14872","7.62","45128","48.7%","50.9%","7562","50.2%","12347","53.0%","19909","51.9%","24757","49.8%","2.1pp"
"Sting-Slinger","R","U","101273","5.62","15618","7.66","54601","56.1%","52.4%","9337","50.6%","13220","53.1%","22557","52.1%","31185","52.3%","-0.3pp"
"Tweeze","R","C","215900","4.52","44663","5.88","231895","82.6%","53.5%","40115","52.2%","61459","56.2%","101574","54.6%","130361","52.6%","2.0pp"
"Warren Torchmaster","R","U","106819","5.93","15381","8.22","47888","50.2%","51.9%","8627","50.4%","11158","51.6%","19785","51.1%","27521","52.3%","-1.2pp"
"Assert Perfection","G","C","187646","3.91","51802","4.80","301280","89.0%","56.0%","50397","56.1%","74099","59.1%","124496","57.9%","176851","54.7%","3.2pp"
"Aurora Awakener","G","M","5266","1.71","3453","1.72","27074","90.7%","54.8%","4657","56.6%","7249","63.2%","11906","60.6%","15019","50.1%","10.5pp"
"Bloom Tender","G","M","7716","2.20","2948","2.37","18158","81.1%","52.4%","3300","57.3%","4262","52.0%","7562","54.3%","10466","50.9%","3.4pp"
"Blossoming Defense","G","U","88690","4.62","17501","6.07","88413","79.2%","55.0%","14772","53.9%","20869","56.7%","35641","55.6%","52805","54.6%","0.9pp"
"Bristlebane Battler","G","R","10937","1.97","5461","2.09","42699","88.0%","56.2%","7684","63.6%","10170","56.9%","17854","59.8%","24403","53.5%","6.3pp"
"Bristlebane Outrider","G","U","80078","4.38","16693","5.54","78011","72.1%","55.2%","13092","54.9%","18923","56.8%","32015","56.1%","45269","54.4%","1.6pp"
"Celestial Reunion","G","M","15692","3.72","2808","4.82","9053","48.8%","53.3%","1502","50.7%","2199","55.7%","3701","53.7%","5360","53.0%","0.7pp"
"Champions of the Perfect","G","R","11016","2.03","5425","2.12","42689","85.1%","56.7%","7437","61.9%","11025","60.3%","18462","61.0%","23087","52.7%","8.3pp"
"Chomping Changeling","G","U","92324","4.84","12696","6.89","43822","55.3%","51.4%","7625","46.3%","10191","51.5%","17816","49.3%","25359","52.6%","-3.3pp"
"Crossroads Watcher","G","C","278522","5.87","42458","8.16","163390","60.2%","55.1%","28865","55.6%","37225","55.0%","66090","55.3%","95394","54.7%","0.6pp"
"Dawn's Light Archer","G","C","285548","5.98","42466","8.44","169139","62.2%","55.3%","29296","54.0%","38777","55.5%","68073","54.8%","98873","55.4%","-0.6pp"
"Dundoolin Weaver","G","U","63056","3.50","18714","4.18","107838","87.7%","55.4%","18632","53.0%","26232","58.2%","44864","56.1%","61629","54.6%","1.5pp"
"Formidable Speaker","G","R","11272","2.00","5550","2.13","40343","86.4%","55.4%","7122","57.6%","9888","57.6%","17010","57.6%","22821","53.5%","4.1pp"
"Gilt-Leaf's Embrace","G","C","308640","6.72","40745","9.65","114351","43.8%","54.6%","18846","52.9%","26816","56.3%","45662","54.9%","68737","54.5%","0.4pp"
"Great Forest Druid","G","C","231798","4.82","40250","6.48","174897","69.2%","52.6%","32157","56.3%","41105","52.2%","73262","54.0%","101559","51.5%","2.5pp"
"Luminollusk","G","U","106876","5.63","15089","8.03","38479","40.7%","50.3%","6338","47.4%","10335","53.4%","16673","51.1%","21642","49.5%","1.6pp"
"Lys Alana Dignitary","G","U","72613","4.06","18523","4.87","99854","81.4%","56.7%","18285","58.9%","22462","56.6%","40747","57.6%","57550","55.8%","1.9pp"
"Lys Alana Informant","G","C","238361","4.89","49155","6.39","268016","83.8%","56.2%","49230","57.5%","60167","56.4%","109397","56.9%","155469","55.6%","1.3pp"
"Midnight Tilling","G","C","301413","6.67","48991","9.03","155621","49.3%","56.1%","28076","55.8%","36682","56.7%","64758","56.3%","90883","55.9%","0.4pp"
"Mistmeadow Council","G","C","247104","5.15","47897","6.78","220712","71.3%","55.6%","37208","54.8%","52393","57.8%","89601","56.6%","127435","54.7%","1.9pp"
"Moon-Vigil Adherents","G","U","52535","3.17","17919","3.57","110565","88.7%","56.9%","18663","55.8%","27750","60.5%","46413","58.6%","62081","55.1%","3.6pp"
"Morcant's Eyes","G","U","66264","4.00","19835","4.48","107954","77.7%","58.2%","19646","58.6%","25888","61.8%","45534","60.4%","60120","56.0%","4.4pp"
"Mutable Explorer","G","R","15668","2.58","5550","2.83","33556","81.4%","53.8%","5985","52.9%","7818","55.1%","13803","54.1%","19159","53.3%","0.9pp"
"Pitiless Fists","G","U","64857","3.62","19725","4.24","115324","88.0%","56.2%","19020","56.5%","28476","59.8%","47496","58.5%","67856","54.7%","3.8pp"
"Prismabasher","G","U","69721","3.89","18150","4.67","91204","77.4%","53.9%","15006","52.5%","23404","59.2%","38410","56.5%","52251","51.8%","4.8pp"
"Prismatic Undercurrents","G","U","113870","6.30","14034","9.22","19132","21.9%","48.1%","3210","45.4%","4908","51.2%","8118","48.9%","11020","47.4%","1.5pp"
"Pummeler for Hire","G","U","77518","4.19","16983","5.29","79254","72.8%","53.9%","13206","52.6%","20318","57.6%","33524","55.6%","45749","52.7%","2.9pp"
"Safewright Cavalry","G","C","253344","5.30","46189","7.07","220864","73.9%","55.8%","37164","54.3%","53565","57.6%","90729","56.2%","126862","55.2%","1.1pp"
"Sapling Nursery","G","R","16225","2.68","5526","2.90","33691","78.3%","53.7%","5662","55.5%","8523","56.9%","14185","56.4%","19587","51.7%","4.6pp"
"Selfless Safewright","G","R","13608","2.27","5805","2.47","39621","85.8%","54.9%","6482","53.4%","9719","58.5%","16201","56.4%","22798","53.4%","3.0pp"
"Shimmerwilds Growth","G","U","97162","5.27","15009","7.14","47167","50.3%","50.0%","8726","49.9%","11494","50.3%","20220","50.2%","26972","49.9%","0.3pp"
"Spry and Mighty","G","R","20027","3.00","6233","3.38","34686","78.8%","52.9%","5755","50.6%","8456","55.7%","14211","53.6%","20504","52.4%","1.2pp"
"Surly Farrier","G","C","288860","6.12","41177","8.64","145283","55.3%","54.4%","26634","54.2%","31813","53.2%","58447","53.7%","85529","54.7%","-1.0pp"
"Tend the Sprigs","G","C","307118","6.82","34179","10.16","46964","22.0%","48.9%","8282","45.3%","11725","52.7%","20007","49.6%","26972","48.5%","1.1pp"
"Thoughtweft Charge","G","U","98732","5.13","15248","7.11","60280","62.0%","54.1%","9953","52.5%","14122","55.4%","24075","54.2%","36227","54.0%","0.2pp"
"Trystan, Callous Cultivator","G","R","15361","2.55","6113","2.81","43121","84.2%","57.2%","7686","61.5%","10788","60.1%","18474","60.6%","23797","54.3%","6.3pp"
"Unforgiving Aim","G","C","313802","7.01","34729","10.50","47349","21.4%","51.8%","7732","49.1%","11208","52.7%","18940","51.2%","28438","52.1%","-0.9pp"
"Vinebred Brawler","G","U","84123","4.60","16436","5.91","82182","77.5%","55.6%","14142","55.0%","19016","56.6%","33158","55.9%","47860","55.2%","0.7pp"
"Virulent Emissary","G","U","59884","3.37","17972","3.97","107723","88.8%","56.5%","19487","59.2%","24701","57.6%","44188","58.3%","62109","55.1%","3.2pp"
"Wildvine Pummeler","G","C","282463","5.80","38091","8.46","113673","47.9%","50.3%","18721","48.4%","30098","54.1%","48819","51.9%","65126","49.1%","2.8pp"
"Abigale, Eloquent First-Year","WB","R","9217","1.67","5860","1.72","45725","92.9%","55.4%","7983","55.8%","11311","60.3%","19294","58.4%","26289","53.2%","5.2pp"
"Ashling's Command","UR","R","13842","2.38","7175","2.47","53787","85.9%","58.6%","9250","63.4%","15066","67.8%","24316","66.1%","28162","51.3%","14.8pp"
"Boggart Cursecrafter","BR","U","74307","4.41","16247","5.29","75512","71.5%","54.5%","13169","57.7%","18442","56.5%","31611","57.0%","41703","52.1%","4.9pp"
"Bre of Clan Stoutarm","WR","R","15878","2.67","5846","2.90","31797","72.7%","52.2%","5363","53.6%","8639","57.1%","14002","55.8%","17907","49.4%","6.4pp"
"Brigid's Command","WG","R","17538","2.84","5755","3.21","34411","72.5%","56.5%","5879","58.2%","8166","61.0%","14045","59.8%","19572","53.4%","6.4pp"
"Catharsis","WR","M","6927","2.08","2807","2.19","16678","77.0%","51.8%","2842","49.9%","4328","55.2%","7170","53.1%","9350","50.5%","2.6pp"
"Chaos Spewer","BR","C","296474","6.53","35737","9.52","87973","39.6%","50.7%","15402","48.7%","21871","51.6%","37273","50.4%","49661","50.6%","-0.2pp"
"Chitinous Graspling","UG","C","292603","5.81","39896","8.60","116006","46.1%","51.5%","19543","48.6%","29453","52.6%","48996","51.0%","65490","51.6%","-0.6pp"
"Deceit","UB","M","5418","1.74","3264","1.79","24341","87.4%","54.8%","4080","55.0%","6364","61.5%","10444","58.9%","13647","51.4%","7.5pp"
"Deepchannel Duelist","WU","U","60052","3.70","18771","4.13","109670","80.5%","58.7%","19724","64.0%","27313","62.8%","47037","63.3%","59663","54.4%","8.9pp"
"Deepway Navigator","WU","R","21982","3.36","6158","3.94","34314","74.5%","55.5%","6090","56.5%","8320","56.2%","14410","56.3%","19163","54.4%","1.9pp"
"Doran, Besieged by Time","WBG","R","21581","3.27","5877","3.70","26927","62.7%","52.6%","4489","57.5%","7189","59.2%","11678","58.5%","15101","47.7%","10.9pp"
"Dream Harvest","UB","R","33353","4.13","5414","5.53","17464","51.4%","49.9%","2802","45.6%","4693","53.0%","7495","50.3%","9987","49.5%","0.8pp"
"Eclipsed Boggart","BR","U","80799","4.59","17611","5.56","79024","68.7%","55.8%","14278","58.3%","19159","59.4%","33437","58.9%","43372","52.8%","6.2pp"
"Eclipsed Elf","BG","U","55973","3.35","19078","3.78","114544","83.4%","58.7%","21059","63.2%","27927","62.9%","48986","63.0%","62446","54.9%","8.1pp"
"Eclipsed Flamekin","UR","U","68753","3.95","21414","4.54","119786","82.5%","56.5%","21702","59.2%","32692","60.3%","54394","59.9%","62800","53.1%","6.7pp"
"Eclipsed Kithkin","WG","U","60462","3.52","18227","4.07","101779","79.2%","58.1%","19467","64.5%","23140","60.6%","42607","62.4%","57165","54.6%","7.7pp"
