"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Archenemy's Charm","B","R","30831","2.93","8311","3.49","39544","78.6%","54.6%","6798","53.1%","10759","59.2%","17557","56.8%","21791","52.7%","4.1pp"
"Beamsaw Prospector","B","C","325028","4.76","56532","6.74","281547","82.8%","54.1%","51042","55.0%","74288","54.7%","125330","54.9%","155534","53.5%","1.4pp"
"Blade of the Swarm","B","U","155943","6.29","16986","9.75","18459","18.1%","52.0%","3249","50.9%","4692","53.0%","7941","52.1%","10490","51.8%","0.3pp"
"Chorale of the Void","B","R","34418","3.40","6367","4.35","21609","59.0%","49.5%","3603","43.0%","5822","50.9%","9425","47.9%","12104","50.6%","-2.8pp"
"Comet Crawler","B","C","394114","6.61","48670","9.86","101259","34.6%","53.2%","17530","53.0%","27135","54.4%","44665","53.8%","56464","52.6%","1.2pp"
"Dark Endurance","B","C","417487","7.77","44955","11.54","16382","6.0%","51.6%","2700","47.8%","4074","54.7%","6774","51.9%","9589","51.4%","0.5pp"
"Decode Transmissions","B","C","391613","6.49","50574","9.60","116618","38.5%","52.7%","20096","49.6%","30648","54.7%","50744","52.7%","65503","52.7%","0.0pp"
"Depressurize","B","C","239399","3.58","61347","4.60","327374","88.0%","54.9%","57979","54.6%","87986","57.7%","145965","56.5%","179642","53.5%","3.0pp"
"Dubious Delicacy","B","U","62744","2.46","29231","2.72","165470","91.3%","56.8%","29251","58.3%","44603","62.0%","73854","60.5%","90242","53.6%","6.9pp"
"Elegy Acolyte","B","R","13948","1.49","10477","1.46","61268","92.7%","58.0%","10689","64.6%","16835","64.8%","27524","64.7%","33683","52.5%","12.3pp"
"Embrace Oblivion","B","C","332925","5.03","57963","7.05","257685","73.7%","54.6%","43481","52.8%","70596","57.7%","114077","55.8%","142447","53.5%","2.3pp"
"Entropic Battlecruiser","B","R","28958","2.86","6172","3.42","25362","70.3%","51.4%","4381","51.2%","6702","53.1%","11083","52.4%","14104","50.5%","1.9pp"
"Faller's Faithful","B","U","91127","3.41","27469","4.10","146817","87.5%","55.8%","25245","55.7%","39431","59.5%","64676","58.0%","81476","54.1%","3.9pp"
"Fell Gravship","B","U","89203","3.35","29892","3.90","160699","86.7%","56.9%","27656","58.5%","43402","61.2%","71058","60.2%","88274","54.3%","5.9pp"
"Gravblade Heavy","B","C","414283","7.48","46018","11.14","33275","12.1%","50.8%","5506","49.4%","9167","51.5%","14673","50.7%","18560","50.7%","0.0pp"
"Gravkill","B","C","204744","3.13","58212","3.92","317407","90.5%","54.3%","53592","52.8%","86341","58.0%","139933","56.0%","175562","52.8%","3.2pp"
"Gravpack Monoist","B","C","321130","4.75","63220","6.46","322676","83.6%","55.4%","56900","56.2%","86743","57.5%","143643","57.0%","178014","54.0%","2.9pp"
"Hullcarver","B","C","351138","5.32","52611","7.74","229760","72.2%","54.6%","40768","56.2%","60288","55.3%","101056","55.6%","123300","53.5%","2.1pp"
"Hylderblade","B","U","133802","5.10","20611","7.26","68654","55.6%","53.5%","11910","54.3%","17713","54.4%","29623","54.4%","38721","52.9%","1.5pp"
"Hymn of the Faller","B","U","124683","4.62","20114","6.47","79001","66.4%","52.3%","14156","48.3%","20846","53.8%","35002","51.6%","43754","52.8%","-1.2pp"
"Insatiable Skittermaw","B","C","390783","6.58","43184","10.03","79736","30.9%","51.7%","13757","50.5%","20634","52.5%","34391","51.7%","45290","51.7%","-0.0pp"
"Lightless Evangel","B","U","117499","4.34","20209","6.03","86308","71.4%","53.5%","15358","53.5%","22696","53.5%","38054","53.5%","48104","53.4%","0.1pp"
