"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Bitter Triumph","B","U","64377","2.83","19699","3.35","114727","90.8%","55.8%","19824","55.6%","30193","58.8%","50017","57.5%","63465","54.2%","3.3pp"
"Culling the Weak","B","R","14181","5.92","1497","9.36","384","4.2%","","66","","98","","164","","217","",""
"Dismember","B","R","4234","1.79","2491","1.90","15448","96.8%","56.3%","2753","57.9%","4169","59.9%","6922","59.1%","8280","53.7%","5.4pp"
"Feed the Swarm","B","U","81452","3.52","16803","4.53","91384","85.8%","54.6%","16201","53.4%","23469","56.9%","39670","55.5%","50917","53.8%","1.7pp"
"Living End","B","M","6578","5.22","731","7.95","138","3.0%","","19","","44","","63","","75","",""
"Locust Spray","B","U","140870","6.59","15827","9.79","26713","26.8%","53.1%","4598","51.4%","6423","52.5%","11021","52.1%","15596","53.9%","-1.8pp"
"Sheoldred's Edict","B","R","8452","3.32","1457","4.39","6580","72.6%","53.4%","1179","53.9%","1669","52.5%","2848","53.1%","3672","53.3%","-0.2pp"
"Smallpox","B","R","14820","6.02","1546","9.50","510","5.2%","46.7%","79","","123","","202","","309","",""
"Stargaze","B","U","142114","6.81","18708","9.83","35409","29.7%","55.4%","5852","53.1%","8915","56.4%","14767","55.1%","20486","55.5%","-0.5pp"
"Vampiric Tutor","B","M","3987","3.35","645","4.38","1949","50.5%","48.1%","368","","508","48.4%","876","46.6%","1055","49.6%","-3.0pp"
"Zombify","B","U","136737","6.53","13220","10.19","10758","13.0%","47.9%","1754","43.6%","2876","48.7%","4630","46.8%","6071","48.6%","-1.8pp"
"Abrade","R","U","66297","2.86","24717","3.33","147954","93.3%","55.7%","25910","56.8%","42859","59.0%","68769","58.1%","76413","53.4%","4.8pp"
"Big Score","R","R","10152","3.89","2135","4.91","10358","76.7%","53.8%","1767","51.8%","3141","56.9%","4908","55.1%","5242","52.3%","2.8pp"
"Brotherhood's End","R","R","7971","3.19","2471","3.60","12258","78.0%","55.8%","2110","57.1%","3629","61.0%","5739","59.5%","6222","52.0%","7.5pp"
"Bulk Up","R","U","140235","6.84","15875","10.27","19232","19.4%","50.7%","3099","48.2%","5058","52.4%","8157","50.8%","10935","50.4%","0.4pp"
"Burst Lightning","R","U","64394","2.82","25973","3.21","156418","93.4%","56.1%","27265","56.6%","45317","59.9%","72582","58.7%","80780","53.4%","5.3pp"
"Crackle with Power","R","M","2459","2.22","1433","2.22","8715","92.1%","57.5%","1461","55.2%","2715","64.6%","4176","61.4%","4160","51.9%","9.4pp"
"Empty the Warrens","R","R","12087","4.94","1814","6.84","4713","40.6%","52.0%","835","50.4%","1407","58.1%","2242","55.3%","2334","48.5%","6.8pp"
"Jeska's Will","R","M","6379","5.15","841","7.70","637","12.0%","50.5%","114","","169","","283","","346","",""
"Monstrous Rage","R","U","122047","5.48","19690","7.47","70706","56.4%","55.4%","11922","55.2%","18605","56.9%","30527","56.3%","39818","54.6%","1.7pp"
"Pyretic Ritual","R","R","14689","6.05","1584","9.44","612","6.1%","47.4%","109","","141","","250","","347","",""
"Return the Favor","R","U","138367","6.60","17339","9.78","27832","25.5%","51.4%","4686","48.5%","8190","55.0%","12876","52.6%","14487","50.0%","2.6pp"
"Subterranean Tremors","R","M","2403","2.07","1359","2.13","7891","89.9%","56.0%","1373","56.1%","2318","62.2%","3691","59.9%","3917","51.6%","8.3pp"
"Awaken the Woods","G","M","3635","2.95","756","3.46","3294","71.1%","51.5%","543","51.0%","972","55.5%","1515","53.9%","1685","48.1%","5.7pp"
"Berserk","G","M","5770","4.82","732","7.02","1113","24.4%","49.0%","174","","288","","462","","641","49.8%",""
"Crop Rotation","G","R","15720","6.24","1684","9.71","608","5.7%","42.3%","109","","156","","265","","342","",""
"Giant Growth","G","U","143886","6.92","14667","10.49","18692","20.4%","51.2%","3091","49.5%","4556","53.1%","7647","51.6%","10964","50.8%","0.9pp"
"Glimpse of Nature","G","R","14946","6.10","1651","9.44","392","3.7%","","65","","90","","155","","230","",""
"Knockout Maneuver","G","U","97406","4.16","17516","5.49","86923","78.7%","54.1%","14694","54.2%","23064","58.2%","37758","56.6%","48129","51.9%","4.8pp"
"Pick Your Poison","G","U","145987","7.36","14231","11.30","4905","5.5%","48.5%","836","46.7%","1263","48.1%","2099","47.5%","2767","49.3%","-1.7pp"
"Royal Treatment","G","U","122430","5.30","17892","7.45","71101","63.5%","53.9%","11998","54.8%","18216","57.1%","30214","56.2%","40315","52.0%","4.2pp"
"Shamanic Revelation","G","R","11785","4.66","1414","6.85","3053","34.3%","51.1%","525","46.5%","717","53.1%","1242","50.3%","1800","51.7%","-1.4pp"
"Shared Roots","G","U","96299","4.20","18532","5.44","86308","74.8%","52.9%","15693","56.0%","23479","54.7%","39172","55.2%","46530","51.0%","4.2pp"
"Triumph of the Hordes","G","M","4959","4.17","640","5.75","1245","31.8%","49.3%","219","","323","","542","48.7%","697","49.5%","-0.8pp"
"Veil of Summer","G","R","15281","6.07","1752","9.35","895","8.2%","50.5%","138","","213","","351","","540","49.8%",""
"Bring to Light","UG","R","13210","5.07","1896","7.26","3107","26.0%","51.9%","521","50.5%","946","54.9%","1467","53.3%","1586","50.3%","3.1pp"
"Culling Ritual","BG","R","12284","4.96","1447","7.57","1832","20.2%","49.6%","308","","490","","798","52.8%","1022","47.2%","5.6pp"
"Deflecting Palm","WR","R","13148","5.36","1556","8.20","1704","17.3%","47.1%","281","","438","","719","47.3%","984","47.0%","0.3pp"
"Expressive Iteration","UR","R","8163","3.25","2556","3.80","13510","83.6%","54.3%","2361","54.3%","4091","59.3%","6452","57.5%","6664","50.7%","6.8pp"
"Fracture","WB","R","13918","5.95","1524","9.19","929","9.6%","46.1%","185","","225","","410","","518","52.7%",""
"Archaeomancer","U","C","5812","5.06","1095","6.76","4372","64.1%","52.6%","683","48.3%","1396","57.7%","2079","54.6%","2180","50.1%","4.5pp"
"Archmage Emeritus","U","R","2938","2.83","823","3.21","3962","78.0%","50.8%","688","48.3%","1156","51.0%","1844","50.0%","2025","51.5%","-1.5pp"
"Murmuring Mystic","U","U","3198","2.74","1196","3.03","6852","90.5%","54.0%","1178","54.0%","2169","57.9%","3347","56.5%","3318","51.4%","5.2pp"
"Grim Haruspex","B","R","2895","2.67","785","3.05","4055","80.7%","54.6%","702","52.4%","980","55.3%","1682","54.1%","2338","54.7%","-0.6pp"
"Dualcaster Mage","R","R","3386","3.21","799","3.89","3660","74.9%","51.7%","605","45.3%","1035","53.6%","1640","50.5%","1966","52.6%","-2.1pp"
"Magus of the Library","G","R","5350","4.68","724","6.81","1578","34.3%","49.6%","255","","386","","641","45.4%","920","52.1%","-6.7pp"
"Sylvan Library","G","M","3276","3.22","634","3.74","2353","60.8%","52.2%","432","","594","51.3%","1026","51.8%","1301","52.5%","-0.7pp"
"Adrix and Nev, Twincasters","UG","M","3865","3.71","655","4.77","1500","38.4%","47.3%","220","","435","","655","48.5%","828","46.0%","2.5pp"
"Codie, Vociferous Codex","","R","5759","5.06","984","6.63","2129","34.4%","53.0%","376","","699","56.1%","1075","54.3%","1006","51.7%","2.6pp"
"Library of Alexandria","","M","2677","2.59","1206","2.70","6940","89.2%","56.0%","1285","67.4%","1892","54.9%","3177","60.0%","3643","52.3%","7.6pp"
