"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Neglected Manor","","C","243503","6.54","35443","9.34","99942","47.3%","51.8%","18115","52.8%","24746","53.1%","42861","53.0%","56851","50.9%","2.1pp"
"Peculiar Lighthouse","","C","250724","7.06","43926","9.68","122847","46.4%","53.0%","21980","54.3%","31118","53.5%","53098","53.8%","69703","52.3%","1.5pp"
"Raucous Carnival","","C","245742","6.61","40703","9.27","141997","57.5%","54.8%","26019","55.5%","31119","52.6%","57138","53.9%","84832","55.5%","-1.6pp"
"Razortrap Gorge","","C","246461","6.73","40961","9.39","129724","52.7%","53.5%","23669","54.4%","30927","52.8%","54596","53.5%","75030","53.6%","-0.1pp"
"Strangled Cemetery","","C","239190","6.25","40096","8.71","153995","63.7%","54.3%","28294","54.8%","36240","53.9%","64534","54.3%","89293","54.2%","0.1pp"
"Terramorphic Expanse","","C","383465","4.41","85643","6.14","495231","95.4%","54.9%","91811","56.7%","116927","54.2%","208738","55.3%","286266","54.6%","0.7pp"
"Thornspire Verge","","R","63095","4.24","10819","6.10","37386","57.2%","54.1%","6763","55.7%","8381","52.6%","15144","54.0%","22219","54.2%","-0.2pp"
"Valgavoth's Lair","","R","46433","3.16","10738","4.16","60246","94.5%","53.7%","11073","54.5%","14557","52.8%","25630","53.5%","34569","53.8%","-0.3pp"
"Hallowed Haunting","W","M","2443","2.39","732","2.49","3025","71.1%","51.8%","544","51.5%","767","53.6%","1311","52.7%","1719","51.2%","1.5pp"
"Soul Warden","W","M","4178","3.54","525","4.93","1547","51.3%","52.3%","270","","348","","618","53.2%","924","51.7%","1.5pp"
"Expropriate","U","M","5663","4.83","793","7.04","1095","23.1%","53.1%","169","","276","","445","","649","51.9%",""
"Phantasmal Image","U","M","2706","2.43","1005","2.70","5086","86.6%","53.7%","853","53.0%","1369","58.4%","2222","56.3%","2857","51.5%","4.8pp"
"Damnation","B","M","2038","1.84","971","1.92","5029","84.9%","55.5%","849","56.9%","1277","62.6%","2126","60.3%","2880","52.0%","8.3pp"
"Sacrifice","B","M","6074","5.12","645","8.04","250","6.6%","","45","","58","","103","","147","",""
"Maddening Hex","R","M","4408","3.81","799","4.89","2308","49.5%","48.7%","367","","482","","849","47.3%","1460","49.5%","-2.2pp"
"Unholy Heat","R","M","2843","2.43","1093","2.68","5883","88.9%","55.2%","984","56.2%","1357","58.5%","2341","57.5%","3536","53.7%","3.8pp"
"Collected Company","G","M","3192","2.78","742","3.24","2482","56.3%","52.5%","443","","587","55.0%","1030","54.3%","1456","51.3%","3.0pp"
"Noxious Revival","G","M","4996","4.12","605","6.09","1185","33.8%","47.6%","168","","295","","463","","721","51.5%",""
