"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Stadium Headliner","R","R","29062","2.61","10064","2.83","54694","87.3%","57.0%","9939","60.2%","12201","57.0%","22140","58.5%","32406","56.0%","2.4pp"
"Stormscale Scion","R","M","9710","1.85","4800","1.87","24728","86.2%","53.8%","4058","51.2%","6928","59.9%","10986","56.7%","13308","51.1%","5.6pp"
"Stormshriek Feral","R","C","345655","5.03","51259","7.43","240917","77.7%","53.9%","42811","51.8%","72338","55.8%","115149","54.3%","132300","53.4%","0.9pp"
"Summit Intimidator","R","C","428564","8.13","51167","11.65","52962","17.0%","52.4%","8670","49.2%","12263","51.7%","20933","50.7%","31952","53.5%","-2.8pp"
"Sunset Strikemaster","R","U","84063","3.10","26629","3.70","152604","92.6%","56.2%","27633","59.2%","37577","56.2%","65210","57.5%","86497","55.2%","2.2pp"
"Tersa Lightshatter","R","R","20461","1.90","10696","1.95","61741","93.6%","55.9%","10938","57.5%","15398","58.5%","26336","58.1%","34935","54.2%","3.9pp"
"Twin Bolt","R","C","407084","6.94","46897","10.37","84627","29.6%","53.2%","14720","51.1%","20944","54.3%","35664","53.0%","48643","53.2%","-0.3pp"
"Underfoot Underdogs","R","C","410271","7.30","55444","10.21","157912","46.2%","55.8%","27422","54.5%","33437","53.9%","60859","54.2%","96965","56.8%","-2.6pp"
"Unsparing Boltcaster","R","U","143509","5.52","20094","7.94","73564","60.0%","54.9%","12413","53.8%","16252","52.7%","28665","53.2%","44835","56.1%","-2.9pp"
"War Effort","R","U","98798","4.01","23766","4.63","120348","82.0%","56.1%","20016","55.3%","26621","57.0%","46637","56.3%","73618","56.0%","0.3pp"
"Wild Ride","R","C","425919","8.29","52568","11.70","52924","16.6%","52.9%","8676","49.9%","11847","52.0%","20523","51.1%","32349","54.1%","-3.0pp"
"Zurgo's Vanguard","R","U","106977","4.05","23116","5.10","121084","84.7%","56.1%","21047","57.7%","27173","54.6%","48220","56.0%","72831","56.2%","-0.2pp"
"Ainok Wayfarer","G","C","347329","5.22","72911","6.91","381781","85.4%","55.6%","69403","57.3%","95459","57.0%","164862","57.2%","214019","54.4%","2.8pp"
"Attuned Hunter","G","U","124286","4.68","18826","6.56","81739","73.1%","52.7%","14305","52.1%","20522","54.4%","34827","53.5%","46419","52.2%","1.3pp"
"Bloomvine Regent","G","R","16522","1.54","10972","1.55","63191","94.9%","54.8%","11212","54.9%","19548","61.2%","30760","58.9%","33624","51.6%","7.3pp"
"Champion of Dusan","G","C","366321","5.54","59682","7.84","288418","79.4%","54.7%","50878","54.9%","70576","56.0%","121454","55.5%","165715","54.0%","1.5pp"
"Craterhoof Behemoth","G","M","11027","2.11","4607","2.17","22844","82.8%","53.6%","3726","51.0%","6215","60.6%","9941","57.0%","12589","50.4%","6.6pp"
"Dragon Sniper","G","U","93200","3.38","23788","4.27","135602","93.2%","55.3%","24226","57.1%","35434","57.7%","59660","57.5%","74644","53.5%","3.9pp"
"Dragonbroods' Relic","G","U","116943","4.60","30793","5.46","140856","74.9%","54.8%","24633","54.9%","39000","59.9%","63633","58.0%","75060","51.9%","6.1pp"
"Dusyut Earthcarver","G","C","410433","7.07","54725","10.21","143818","43.4%","53.8%","23652","51.6%","38739","57.5%","62391","55.2%","80139","52.5%","2.8pp"
"Encroaching Dragonstorm","G","U","115221","4.48","19903","5.95","78639","66.5%","52.7%","13597","52.7%","20886","54.4%","34483","53.7%","43458","51.7%","2.0pp"
"Formation Breaker","G","U","119767","4.50","20656","6.03","96976","77.4%","54.1%","17654","55.8%","22334","53.9%","39988","54.7%","56605","53.7%","1.1pp"
"Herd Heirloom","G","R","21763","2.04","10052","2.11","53754","89.2%","54.1%","9660","58.8%","13655","55.3%","23315","56.8%","29868","52.0%","4.7pp"
"Heritage Reclamation","G","C","424896","8.04","46900","11.76","35119","12.5%","50.7%","6041","47.6%","9047","52.2%","15088","50.4%","19755","51.0%","-0.6pp"
"Inspirited Vanguard","G","U","109854","4.16","18740","5.59","88164","78.2%","53.7%","14778","53.7%","22563","56.2%","37341","55.2%","50279","52.5%","2.7pp"
"Knockout Maneuver","G","U","84622","3.11","26092","3.75","149232","92.9%","55.5%","25103","56.6%","39309","59.9%","64412","58.6%","82792","53.0%","5.6pp"
"Krotiq Nestguard","G","C","426893","8.29","47272","11.98","38138","13.4%","51.6%","6645","49.2%","9888","52.9%","16533","51.4%","21441","51.6%","-0.2pp"
"Lasyd Prowler","G","R","23685","2.18","11239","2.29","63761","92.7%","55.3%","10957","57.7%","16540","58.3%","27497","58.0%","35799","53.1%","5.0pp"
"Nature's Rhythm","G","R","60954","5.34","6833","8.37","6879","16.7%","51.9%","1137","48.9%","1742","54.8%","2879","52.5%","3973","51.3%","1.2pp"
"Piercing Exhale","G","C","285986","4.16","65277","5.45","358437","89.9%","55.2%","60282","54.4%","95359","59.2%","155641","57.3%","197651","53.3%","4.1pp"
"Rainveil Rejuvenator","G","U","147001","5.94","17247","8.73","40246","39.3%","51.2%","6919","50.3%","10253","51.2%","17172","50.8%","22830","51.4%","-0.6pp"
"Rite of Renewal","G","U","163682","6.94","20884","10.13","37638","29.9%","52.5%","6153","48.4%","10226","56.3%","16379","53.3%","20752","51.6%","1.7pp"
"Roamer's Routine","G","C","393667","6.63","46195","9.85","112683","40.7%","52.2%","20049","51.1%","28725","52.6%","48774","52.0%","63544","52.3%","-0.3pp"
"Sage of the Fang","G","U","102147","3.74","18259","5.01","97152","88.1%","54.0%","17075","53.7%","23092","55.4%","40167","54.7%","56654","53.4%","1.3pp"
"Sagu Pummeler","G","C","355832","5.26","57783","7.54","295208","84.1%","54.5%","50248","53.3%","75567","56.5%","125815","55.2%","167672","53.9%","1.3pp"
"Sagu Wildling","G","C","230848","3.36","63232","4.27","363157","95.1%","54.4%","65522","53.2%","121667","58.5%","187189","56.6%","188832","52.5%","4.1pp"
"Sarkhan's Resolve","G","C","398543","6.54","55654","9.46","178991","53.2%","53.9%","29742","52.6%","46733","58.0%","76475","55.9%","100620","52.2%","3.7pp"
"Snakeskin Veil","G","C","385825","6.09","57489","8.69","232202","66.5%","54.4%","38352","54.4%","58921","57.3%","97273","56.2%","132839","52.9%","3.2pp"
"Sultai Devotee","G","C","346896","5.11","59704","7.22","307251","85.0%","54.3%","55667","54.7%","77591","55.7%","133258","55.3%","171423","53.5%","1.8pp"
"Surrak, Elusive Hunter","G","R","16887","1.56","11117","1.59","65459","95.1%","56.0%","11731","61.8%","17294","59.9%","29025","60.7%","35571","52.2%","8.5pp"
"Synchronized Charge","G","U","121297","4.59","20882","6.09","92384","72.4%","55.1%","15521","55.1%","22477","57.9%","37998","56.8%","53906","53.8%","2.9pp"
"Trade Route Envoy","G","C","386328","6.13","48902","9.03","168836","57.4%","53.1%","28341","51.8%","41588","54.3%","69929","53.3%","98017","53.0%","0.3pp"
"Traveling Botanist","G","U","70539","2.67","28334","3.06","165845","94.9%","55.8%","30122","61.7%","42427","56.9%","72549","58.9%","91832","53.3%","5.6pp"
"Undergrowth Leopard","G","C","400092","6.47","52458","9.49","183751","57.9%","53.5%","32584","53.1%","46012","54.7%","78596","54.0%","104001","53.1%","1.0pp"
